code,year,population,month,vlookup
USA,1990,249622814.0,1,USA+1990+1
USA,1991,252980942.0,1,USA+1991+1
USA,1992,256514231.0,1,USA+1992+1
USA,1993,259918595.0,1,USA+1993+1
USA,1994,263125826.0,1,USA+1994+1
USA,1995,266278403.0,1,USA+1995+1
USA,1996,269394291.0,1,USA+1996+1
USA,1997,272646932.0,1,USA+1997+1
USA,1998,275854116.0,1,USA+1998+1
USA,2000,282162411.0,1,USA+2000+1
USA,1999,279040181.0,1,USA+1999+1
USA,2001,284968955.0,1,USA+2001+1
USA,2002,287625193.0,1,USA+2002+1
USA,2003,290107933.0,1,USA+2003+1
USA,2004,292805298.0,1,USA+2004+1
USA,2005,295516599.0,1,USA+2005+1
USA,2006,298379912.0,1,USA+2006+1
USA,2007,301231207.0,1,USA+2007+1
USA,2008,304093966.0,1,USA+2008+1
USA,2013,316128839.0,1,USA+2013+1
USA,2009,306771529.0,1,USA+2009+1
USA,2010,309326295.0,1,USA+2010+1
USA,2011,311582564.0,1,USA+2011+1
USA,2012,313873685.0,1,USA+2012+1
USA,1990,249622814.0,2,USA+1990+2
USA,1991,252980942.0,2,USA+1991+2
USA,1992,256514231.0,2,USA+1992+2
USA,1993,259918595.0,2,USA+1993+2
USA,1994,263125826.0,2,USA+1994+2
USA,1995,266278403.0,2,USA+1995+2
USA,1996,269394291.0,2,USA+1996+2
USA,1997,272646932.0,2,USA+1997+2
USA,1998,275854116.0,2,USA+1998+2
USA,2000,282162411.0,2,USA+2000+2
USA,1999,279040181.0,2,USA+1999+2
USA,2001,284968955.0,2,USA+2001+2
USA,2002,287625193.0,2,USA+2002+2
USA,2003,290107933.0,2,USA+2003+2
USA,2004,292805298.0,2,USA+2004+2
USA,2005,295516599.0,2,USA+2005+2
USA,2006,298379912.0,2,USA+2006+2
USA,2007,301231207.0,2,USA+2007+2
USA,2008,304093966.0,2,USA+2008+2
USA,2013,316128839.0,2,USA+2013+2
USA,2009,306771529.0,2,USA+2009+2
USA,2010,309326295.0,2,USA+2010+2
USA,2011,311582564.0,2,USA+2011+2
USA,2012,313873685.0,2,USA+2012+2
USA,1990,249622814.0,3,USA+1990+3
USA,1991,252980942.0,3,USA+1991+3
USA,1992,256514231.0,3,USA+1992+3
USA,1993,259918595.0,3,USA+1993+3
USA,1994,263125826.0,3,USA+1994+3
USA,1995,266278403.0,3,USA+1995+3
USA,1996,269394291.0,3,USA+1996+3
USA,1997,272646932.0,3,USA+1997+3
USA,1998,275854116.0,3,USA+1998+3
USA,2000,282162411.0,3,USA+2000+3
USA,1999,279040181.0,3,USA+1999+3
USA,2001,284968955.0,3,USA+2001+3
USA,2002,287625193.0,3,USA+2002+3
USA,2003,290107933.0,3,USA+2003+3
USA,2004,292805298.0,3,USA+2004+3
USA,2005,295516599.0,3,USA+2005+3
USA,2006,298379912.0,3,USA+2006+3
USA,2007,301231207.0,3,USA+2007+3
USA,2008,304093966.0,3,USA+2008+3
USA,2013,316128839.0,3,USA+2013+3
USA,2009,306771529.0,3,USA+2009+3
USA,2010,309326295.0,3,USA+2010+3
USA,2011,311582564.0,3,USA+2011+3
USA,2012,313873685.0,3,USA+2012+3
USA,1990,249622814.0,4,USA+1990+4
USA,1991,252980942.0,4,USA+1991+4
USA,1992,256514231.0,4,USA+1992+4
USA,1993,259918595.0,4,USA+1993+4
USA,1994,263125826.0,4,USA+1994+4
USA,1995,266278403.0,4,USA+1995+4
USA,1996,269394291.0,4,USA+1996+4
USA,1997,272646932.0,4,USA+1997+4
USA,1998,275854116.0,4,USA+1998+4
USA,2000,282162411.0,4,USA+2000+4
USA,1999,279040181.0,4,USA+1999+4
USA,2001,284968955.0,4,USA+2001+4
USA,2002,287625193.0,4,USA+2002+4
USA,2003,290107933.0,4,USA+2003+4
USA,2004,292805298.0,4,USA+2004+4
USA,2005,295516599.0,4,USA+2005+4
USA,2006,298379912.0,4,USA+2006+4
USA,2007,301231207.0,4,USA+2007+4
USA,2008,304093966.0,4,USA+2008+4
USA,2013,316128839.0,4,USA+2013+4
USA,2009,306771529.0,4,USA+2009+4
USA,2010,309326295.0,4,USA+2010+4
USA,2011,311582564.0,4,USA+2011+4
USA,2012,313873685.0,4,USA+2012+4
USA,1990,249622814.0,5,USA+1990+5
USA,1991,252980942.0,5,USA+1991+5
USA,1992,256514231.0,5,USA+1992+5
USA,1993,259918595.0,5,USA+1993+5
USA,1994,263125826.0,5,USA+1994+5
USA,1995,266278403.0,5,USA+1995+5
USA,1996,269394291.0,5,USA+1996+5
USA,1997,272646932.0,5,USA+1997+5
USA,1998,275854116.0,5,USA+1998+5
USA,2000,282162411.0,5,USA+2000+5
USA,1999,279040181.0,5,USA+1999+5
USA,2001,284968955.0,5,USA+2001+5
USA,2002,287625193.0,5,USA+2002+5
USA,2003,290107933.0,5,USA+2003+5
USA,2004,292805298.0,5,USA+2004+5
USA,2005,295516599.0,5,USA+2005+5
USA,2006,298379912.0,5,USA+2006+5
USA,2007,301231207.0,5,USA+2007+5
USA,2008,304093966.0,5,USA+2008+5
USA,2013,316128839.0,5,USA+2013+5
USA,2009,306771529.0,5,USA+2009+5
USA,2010,309326295.0,5,USA+2010+5
USA,2011,311582564.0,5,USA+2011+5
USA,2012,313873685.0,5,USA+2012+5
USA,1990,249622814.0,6,USA+1990+6
USA,1991,252980942.0,6,USA+1991+6
USA,1992,256514231.0,6,USA+1992+6
USA,1993,259918595.0,6,USA+1993+6
USA,1994,263125826.0,6,USA+1994+6
USA,1995,266278403.0,6,USA+1995+6
USA,1996,269394291.0,6,USA+1996+6
USA,1997,272646932.0,6,USA+1997+6
USA,1998,275854116.0,6,USA+1998+6
USA,2000,282162411.0,6,USA+2000+6
USA,1999,279040181.0,6,USA+1999+6
USA,2001,284968955.0,6,USA+2001+6
USA,2002,287625193.0,6,USA+2002+6
USA,2003,290107933.0,6,USA+2003+6
USA,2004,292805298.0,6,USA+2004+6
USA,2005,295516599.0,6,USA+2005+6
USA,2006,298379912.0,6,USA+2006+6
USA,2007,301231207.0,6,USA+2007+6
USA,2008,304093966.0,6,USA+2008+6
USA,2013,316128839.0,6,USA+2013+6
USA,2009,306771529.0,6,USA+2009+6
USA,2010,309326295.0,6,USA+2010+6
USA,2011,311582564.0,6,USA+2011+6
USA,2012,313873685.0,6,USA+2012+6
USA,1990,249622814.0,7,USA+1990+7
USA,1991,252980942.0,7,USA+1991+7
USA,1992,256514231.0,7,USA+1992+7
USA,1993,259918595.0,7,USA+1993+7
USA,1994,263125826.0,7,USA+1994+7
USA,1995,266278403.0,7,USA+1995+7
USA,1996,269394291.0,7,USA+1996+7
USA,1997,272646932.0,7,USA+1997+7
USA,1998,275854116.0,7,USA+1998+7
USA,2000,282162411.0,7,USA+2000+7
USA,1999,279040181.0,7,USA+1999+7
USA,2001,284968955.0,7,USA+2001+7
