code,year,population,month,vlookup
AL,1990,4050055,1,AL+1990+1
AK,1990,553290,1,AK+1990+1
AZ,1990,3684097,1,AZ+1990+1
AR,1990,2356586,1,AR+1990+1
CA,1990,29959515,1,CA+1990+1
CO,1990,3307618,1,CO+1990+1
CT,1990,3291967,1,CT+1990+1
DE,1990,669567,1,DE+1990+1
DC,1990,605321,1,DC+1990+1
FL,1990,13033307,1,FL+1990+1
GA,1990,6512602,1,GA+1990+1
HI,1990,1113491,1,HI+1990+1
ID,1990,1012384,1,ID+1990+1
IL,1990,11453316,1,IL+1990+1
IN,1990,5557798,1,IN+1990+1
IA,1990,2781018,1,IA+1990+1
KS,1990,2481349,1,KS+1990+1
KY,1990,3694048,1,KY+1990+1
LA,1990,4221532,1,LA+1990+1
ME,1990,1231719,1,ME+1990+1
MD,1990,4799770,1,MD+1990+1
MA,1990,6022639,1,MA+1990+1
MI,1990,9311319,1,MI+1990+1
MN,1990,4389857,1,MN+1990+1
MS,1990,2578897,1,MS+1990+1
MO,1990,5128880,1,MO+1990+1
MT,1990,800204,1,MT+1990+1
NE,1990,1581660,1,NE+1990+1
NV,1990,1220695,1,NV+1990+1
NH,1990,1112384,1,NH+1990+1
NJ,1990,7762963,1,NJ+1990+1
NM,1990,1521574,1,NM+1990+1
NY,1990,18020784,1,NY+1990+1
NC,1990,6664016,1,NC+1990+1
ND,1990,637685,1,ND+1990+1
OH,1990,10864162,1,OH+1990+1
OK,1990,3148825,1,OK+1990+1
OR,1990,2860375,1,OR+1990+1
PA,1990,11903299,1,PA+1990+1
RI,1990,1005995,1,RI+1990+1
SC,1990,3501155,1,SC+1990+1
SD,1990,697101,1,SD+1990+1
TN,1990,4894492,1,TN+1990+1
TX,1990,17056755,1,TX+1990+1
UT,1990,1731223,1,UT+1990+1
VT,1990,564798,1,VT+1990+1
VA,1990,6216884,1,VA+1990+1
WA,1990,4903043,1,WA+1990+1
WV,1990,1792548,1,WV+1990+1
WI,1990,4904562,1,WI+1990+1
WY,1990,453690,1,WY+1990+1
PR,1990,,1,PR+1990+1
AL,1990,4050055,2,AL+1990+2
AK,1990,553290,2,AK+1990+2
AZ,1990,3684097,2,AZ+1990+2
AR,1990,2356586,2,AR+1990+2
CA,1990,29959515,2,CA+1990+2
CO,1990,3307618,2,CO+1990+2
CT,1990,3291967,2,CT+1990+2
DE,1990,669567,2,DE+1990+2
DC,1990,605321,2,DC+1990+2
FL,1990,13033307,2,FL+1990+2
GA,1990,6512602,2,GA+1990+2
HI,1990,1113491,2,HI+1990+2
ID,1990,1012384,2,ID+1990+2
IL,1990,11453316,2,IL+1990+2
IN,1990,5557798,2,IN+1990+2
IA,1990,2781018,2,IA+1990+2
KS,1990,2481349,2,KS+1990+2
KY,1990,3694048,2,KY+1990+2
LA,1990,4221532,2,LA+1990+2
ME,1990,1231719,2,ME+1990+2
MD,1990,4799770,2,MD+1990+2
MA,1990,6022639,2,MA+1990+2
MI,1990,9311319,2,MI+1990+2
MN,1990,4389857,2,MN+1990+2
MS,1990,2578897,2,MS+1990+2
MO,1990,5128880,2,MO+1990+2
MT,1990,800204,2,MT+1990+2
NE,1990,1581660,2,NE+1990+2
NV,1990,1220695,2,NV+1990+2
NH,1990,1112384,2,NH+1990+2
NJ,1990,7762963,2,NJ+1990+2
NM,1990,1521574,2,NM+1990+2
NY,1990,18020784,2,NY+1990+2
NC,1990,6664016,2,NC+1990+2
ND,1990,637685,2,ND+1990+2
OH,1990,10864162,2,OH+1990+2
OK,1990,3148825,2,OK+1990+2
OR,1990,2860375,2,OR+1990+2
PA,1990,11903299,2,PA+1990+2
RI,1990,1005995,2,RI+1990+2
SC,1990,3501155,2,SC+1990+2
SD,1990,697101,2,SD+1990+2
TN,1990,4894492,2,TN+1990+2
TX,1990,17056755,2,TX+1990+2
UT,1990,1731223,2,UT+1990+2
VT,1990,564798,2,VT+1990+2
VA,1990,6216884,2,VA+1990+2
WA,1990,4903043,2,WA+1990+2
WV,1990,1792548,2,WV+1990+2
WI,1990,4904562,2,WI+1990+2
WY,1990,453690,2,WY+1990+2
PR,1990,,2,PR+1990+2
AL,1990,4050055,3,AL+1990+3
AK,1990,553290,3,AK+1990+3
AZ,1990,3684097,3,AZ+1990+3
AR,1990,2356586,3,AR+1990+3
CA,1990,29959515,3,CA+1990+3
CO,1990,3307618,3,CO+1990+3
CT,1990,3291967,3,CT+1990+3
DE,1990,669567,3,DE+1990+3
DC,1990,605321,3,DC+1990+3
FL,1990,13033307,3,FL+1990+3
GA,1990,6512602,3,GA+1990+3
HI,1990,1113491,3,HI+1990+3
ID,1990,1012384,3,ID+1990+3
IL,1990,11453316,3,IL+1990+3
IN,1990,5557798,3,IN+1990+3
IA,1990,2781018,3,IA+1990+3
KS,1990,2481349,3,KS+1990+3
KY,1990,3694048,3,KY+1990+3
LA,1990,4221532,3,LA+1990+3
ME,1990,1231719,3,ME+1990+3
MD,1990,4799770,3,MD+1990+3
MA,1990,6022639,3,MA+1990+3
MI,1990,9311319,3,MI+1990+3
MN,1990,4389857,3,MN+1990+3
MS,1990,2578897,3,MS+1990+3
MO,1990,5128880,3,MO+1990+3
MT,1990,800204,3,MT+1990+3
NE,1990,1581660,3,NE+1990+3
NV,1990,1220695,3,NV+1990+3
NH,1990,1112384,3,NH+1990+3
NJ,1990,7762963,3,NJ+1990+3
NM,1990,1521574,3,NM+1990+3
NY,1990,18020784,3,NY+1990+3
NC,1990,6664016,3,NC+1990+3
ND,1990,637685,3,ND+1990+3
OH,1990,10864162,3,OH+1990+3
OK,1990,3148825,3,OK+1990+3
OR,1990,2860375,3,OR+1990+3
PA,1990,11903299,3,PA+1990+3
RI,1990,1005995,3,RI+1990+3
SC,1990,3501155,3,SC+1990+3
SD,1990,697101,3,SD+1990+3
TN,1990,4894492,3,TN+1990+3
TX,1990,17056755,3,TX+1990+3
UT,1990,1731223,3,UT+1990+3
VT,1990,564798,3,VT+1990+3
VA,1990,6216884,3,VA+1990+3
WA,1990,4903043,3,WA+1990+3
WV,1990,1792548,3,WV+1990+3
WI,1990,4904562,3,WI+1990+3
WY,1990,453690,3,WY+1990+3
PR,1990,,3,PR+1990+3
AL,1990,4050055,4,AL+1990+4
AK,1990,553290,4,AK+1990+4
AZ,1990,3684097,4,AZ+1990+4
AR,1990,2356586,4,AR+1990+4
CA,1990,29959515,4,CA+1990+4
CO,1990,3307618,4,CO+1990+4
CT,1990,3291967,4,CT+1990+4
DE,1990,669567,4,DE+1990+4
DC,1990,605321,4,DC+1990+4
FL,1990,13033307,4,FL+1990+4
GA,1990,6512602,4,GA+1990+4
HI,1990,1113491,4,HI+1990+4
ID,1990,1012384,4,ID+1990+4
IL,1990,11453316,4,IL+1990+4
IN,1990,5557798,4,IN+1990+4
IA,1990,2781018,4,IA+1990+4
KS,1990,2481349,4,KS+1990+4
KY,1990,3694048,4,KY+1990+4
LA,1990,4221532,4,LA+1990+4
ME,1990,1231719,4,ME+1990+4
MD,1990,4799770,4,MD+1990+4
MA,1990,6022639,4,MA+1990+4
MI,1990,9311319,4,MI+1990+4
MN,1990,4389857,4,MN+1990+4
MS,1990,2578897,4,MS+1990+4
MO,1990,5128880,4,MO+1990+4
MT,1990,800204,4,MT+1990+4
NE,1990,1581660,4,NE+1990+4
NV,1990,1220695,4,NV+1990+4
NH,1990,1112384,4,NH+1990+4
NJ,1990,7762963,4,NJ+1990+4
NM,1990,1521574,4,NM+1990+4
NY,1990,18020784,4,NY+1990+4
NC,1990,6664016,4,NC+1990+4
ND,1990,637685,4,ND+1990+4
OH,1990,10864162,4,OH+1990+4
OK,1990,3148825,4,OK+1990+4
OR,1990,2860375,4,OR+1990+4
PA,1990,11903299,4,PA+1990+4
RI,1990,1005995,4,RI+1990+4
SC,1990,3501155,4,SC+1990+4
SD,1990,697101,4,SD+1990+4
TN,1990,4894492,4,TN+1990+4
TX,1990,17056755,4,TX+1990+4
UT,1990,1731223,4,UT+1990+4
VT,1990,564798,4,VT+1990+4
VA,1990,6216884,4,VA+1990+4
WA,1990,4903043,4,WA+1990+4
WV,1990,1792548,4,WV+1990+4
WI,1990,4904562,4,WI+1990+4
WY,1990,453690,4,WY+1990+4
PR,1990,,4,PR+1990+4
AL,1990,4050055,5,AL+1990+5
AK,1990,553290,5,AK+1990+5
AZ,1990,3684097,5,AZ+1990+5
AR,1990,2356586,5,AR+1990+5
CA,1990,29959515,5,CA+1990+5
